Num_Acc,catr,circ,nbv,prof,plan,larrout,surf,infra,situ,vma
202300000092,3,1,0.0,2,1,0.0,1,0,8,50
202300000093,1,-1,4.0,1,1,-1.0,3,0,1,110
202300000094,3,2,6.0,1,1,-1.0,1,1,1,50
202300000095,1,3,4.0,1,1,-1.0,2,0,1,90
202300000096,3,2,4.0,1,1,-1.0,1,0,1,50
202300000097,4,2,2.0,1,1,-1.0,1,0,1,50
202300000098,4,1,2.0,2,2,-1.0,1,0,1,50
202300000098,4,2,2.0,1,1,-1.0,1,0,1,50
202300000099,2,2,4.0,1,1,-1.0,1,0,1,70
202300000100,4,1,3.0,1,1,-1.0,1,0,1,70
202300000101,3,1,2.0,1,3,-1.0,1,0,1,30
202300000102,4,2,2.0,1,1,-1.0,1,9,1,50
202300000103,4,2,2.0,1,2,-1.0,1,0,1,30
202300000104,4,1,1.0,1,1,-1.0,1,0,1,30
202300000105,2,2,-1.0,1,1,-1.0,1,0,1,-1
202300000105,2,-1,0.0,1,1,0.0,1,0,1,80
202300000106,3,1,0.0,2,2,-1.0,1,5,1,50
202300000106,3,2,2.0,2,1,-1.0,1,0,1,50
202300000107,3,2,2.0,1,1,6.0,1,0,1,80
202300000107,3,-1,-1.0,-1,-1,-1.0,-1,-1,-1,-1
202300000108,2,2,2.0,1,2,-1.0,1,0,4,50
202300000109,3,2,2.0,1,3,5.5,1,0,1,50
202300000110,4,2,2.0,1,1,-1.0,1,0,1,30
202300000110,4,2,2.0,1,1,-1.0,1,0,1,50
202300000111,4,2,-1.0,1,1,-1.0,1,9,1,-1
202300000111,4,2,2.0,1,1,-1.0,1,0,1,50
202300000112,4,1,2.0,1,1,-1.0,1,0,1,30
202300000113,3,2,2.0,3,1,7.0,2,0,1,80
202300000113,3,2,2.0,1,1,-1.0,2,0,1,50
202300000114,3,2,2.0,2,4,4.0,2,0,8,90
202300000115,3,3,0.0,1,1,-1.0,1,0,1,90
202300000116,4,-1,2.0,2,1,-1.0,2,0,1,50
202300000117,7,1,2.0,1,2,-1.0,1,3,1,50
202300000117,7,1,3.0,1,2,-1.0,1,0,1,50
202300000118,3,2,2.0,1,1,7.0,2,0,1,90
202300000119,3,2,2.0,2,1,7.0,2,8,1,90
202300000120,4,2,3.0,1,1,-1.0,1,5,8,-1
202300000120,4,2,3.0,1,1,-1.0,1,0,1,50
202300000121,3,2,2.0,1,1,-1.0,2,0,3,80
202300000122,2,2,1.0,1,1,-1.0,1,0,1,50
202300000123,4,-1,2.0,1,1,-1.0,1,0,1,50
202300000124,3,2,2.0,1,1,5.0,2,0,1,80
202300000125,3,2,2.0,1,1,7.0,2,0,1,70
202300000125,3,-1,2.0,1,1,-1.0,1,0,1,-1
202300000126,7,1,1.0,1,1,-1.0,1,0,1,50
202300000127,4,-1,2.0,1,1,-1.0,1,0,1,50
202300000127,4,-1,0.0,1,1,-1.0,1,0,1,50
202300000128,3,2,3.0,2,1,10.5,2,0,8,80
202300000129,4,2,4.0,1,1,-1.0,1,0,1,50
202300000130,3,2,2.0,2,1,5.5,3,5,1,70
202300000131,4,2,2.0,1,1,-1.0,1,0,1,30
202300000132,3,2,2.0,4,1,5.5,1,0,6,50
202300000133,4,-1,2.0,1,2,-1.0,2,0,3,80
202300000134,4,2,2.0,1,1,-1.0,1,0,1,30
202300000135,2,2,2.0,1,2,-1.0,2,0,1,80
202300000136,3,2,2.0,2,3,7.0,2,0,1,90
202300000137,3,2,2.0,1,1,5.0,2,0,1,80
202300000138,4,2,2.0,1,1,-1.0,1,0,1,50
202300000138,4,2,-1.0,1,1,-1.0,1,0,1,-1
202300000139,3,2,2.0,1,1,7.0,1,0,1,50
202300000139,3,2,-1.0,1,1,-1.0,1,0,1,-1
202300000140,4,2,2.0,1,1,-1.0,1,0,1,30
202300000141,3,2,3.0,1,1,10.5,1,0,1,90
202300000142,3,2,2.0,1,2,-1.0,1,5,1,50
202300000143,2,3,2.0,1,1,-1.0,1,0,1,110
202300000144,3,2,1.0,1,1,3.0,2,0,1,80
202300000144,3,2,2.0,1,1,7.0,2,0,1,80
202300000145,3,2,2.0,2,3,4.0,2,0,3,-1
202300000146,4,2,2.0,1,1,-1.0,1,0,1,50
202300000146,4,-1,2.0,1,1,-1.0,1,0,1,50
202300000147,3,2,2.0,1,1,-1.0,1,0,1,50
202300000148,3,2,2.0,2,3,5.5,1,0,3,80
202300000149,4,2,2.0,1,1,-1.0,1,0,1,30
202300000149,4,1,1.0,1,1,-1.0,1,0,1,30
202300000150,2,2,2.0,1,1,-1.0,1,0,1,60
202300000151,4,2,2.0,1,1,-1.0,1,0,1,30
202300000152,1,3,2.0,1,1,10.0,2,0,1,130
202300000153,4,2,2.0,1,1,-1.0,2,0,1,30
